name	plural	czech	shortcut	prefixes	
meter	meters	metr	m	p,n,μ,m,c,d,k
gram	grams		g	m,c,k
decigram	decigrams	dekagram	dg,dkg,dag	
second	seconds	sekunda,vteřina	s	p,n,μ,m
minute	minutes	minuta	min	
hour	hours	hodina	h,hr,hrs,hod	
day	days	den	d	
year	years	rok	ann,a.,yrs,y	
week	weeks	týden	wk,wks	
month	months	měsíc	mo,mon	
radian	radians		rad	
kelvin			K	
coulomb	coulombs		C	
candela	candelas		cd	
candela per square meter	candelas per square meter	candela na metr čtvereční	cd/m^2,Nits	
hertz			Hz	k,M,G
newton	newtons		N 	
pascal	pascals		Pa	k,M
joule	joules		J	k,M
ampere	amperes	ampér	A,amp,amps	m,k,M
volt	volts		V	m,k,M
farad	farads		F	
ohm	ohms		Ω 	
watt	watts		W	m,k,M
mile per hour	miles per hour	míle za hodinu	miph,mi/h	
meter per hour	meters per hour	metr za hodinu	mph,m/h	
kilometer per second	kilometers per second	kilometr za sekundu	kmps,km/s	
meter per second	meters per second	metr za sekundu	mps,m/s	
kilometer per hour	kilometers per hour	kilometr za hodinu	kmph,km/h	
Newton meter	Newton meters	Newton metr	Nm	
watt hour	watt hours	watt hodina	Wh	m,k,M,G
amper hour	amper hours	ampér hodina	Ah,amp hr	m,k,M
electron volt	electron volts	elektron volt	eV	m,k,M
volt ampere	volt amperes	volt ampér	VA	
horsepower		koní,koňská síla	 hp,k	
degree Celsius	degrees Celsius	stupeň Celsia	°C,Cel 	
degree Fahrenheit	degrees Fahrenheit	stupeň Fahrneita	°F,R	
lumen	lumens		lm 	
lux			lx	
becquerel 	becquerels		Bq	
degree	degrees	stupeň	°,deg	
liter	liters	litr	l	m,c,d,h
are	ares	ar	ar, m^2	
tonne	tonnes	tuna	t	
bar	bars		bar	
inch	inches	palec	in,"	
foot	feet	stopa	ft,'	
yard	yards		yd	
mile	miles	míle	mi,mil	
rod	rods		rd	
gallon	gallons		gal	
peck	pecks		pk	
bushel	bushels		bu	
quart	quarts		qt	
pint	pints		pt	
gill	gills		gil	
fluid ounce	fluid ounces		foz	
fluid dram	fluid drams		fdr	
minim	minims		min	
grain	grains		gr	
pound	pounds		lb	
ounce	ounces		oz	
dram	drams		dr	
pennyweight	pennyweights		pwt	
ton	tons		t	
pound per inch	pounds per inch		PPI	
square mile	square miles	čtvereční míle	sq mi,mi2	
furlong	furlongs		fur	
fathom	fathoms	sáh	fth	
acre	acres	akr	ac,acre	
square rod	square rods	čtverreční rod	sq rd,rd2	
square yard	square yards	čtvereční yard	sq yd,yd2	
square foot	square feet	čtvereční stopa	sq ft,ft2	
square inch	square inches	čtvereční palec	sq in,in2	
cubic yard	cubic yards	kubický yard	cu yd,yd3	
cubic foot	cubic feet	kubická stopa	cu ft,ft3	
cubic inch	cubic inches	kubický palec	cu in,in3	
acre-foot	acre-feet		ac ft	
board foot	board feet		bd ft	
cord	cords		cd	
calorie	calories	kalorie	cal	k
baud	bauds		Bd	
neper	nepers		Np, nep	
bel	bels		b	
decibel	decibels		db	
pixel	pixels		px	M
bit per second	bits per seconds	bit za sekundu	bps,bit/s,b/s	m,k,M,G,T,Ki,Mi,Gi,Ti
bit per second		bit za vteřinu	bps	
byte per second	bytes per seconds	byte za sekundu	Bps,Byte/s,B/s	m,k,M,G,T,Ki,Mi,Gi,Ti
byte per second		byte za vteřinu	Bps	
bit	bits		b	k,M,G,T,Ki,Mi,Gi,Ti
byte	bytes		B,By	k,M,G,T,Ki,Mi,Gi,Ti
standard atmosphere		atmosféra	ATM	
percent	percents	procento	%
piece	pieces	kus	pcs,ks