,mainEntity/name
0,Notebook Lenovo Ideapad 3-15ADA05 šedý (81W100LRCK)
1,Lenovo ThinkPad E15-IML
2,Notebook HP Pavilion Gaming 15-ec0602nc černý (26F40EA#BCM)
3,Apple MacBook Pro 13 (Touch Bar) M1 8GB 512GB 8-core GPU vesmírně šedá (M1 2020)
4,Notebook Acer Aspire 7 (A715-41G-R40P) černý (NH.Q8QEC.004)
5,Notebook Lenovo V15-IIL 15 "6"" i5 8GB" SSD 256GB 82C500KACK + ZDARMA Antivir Bitdefender Internet Security v hodnotě 699 Kč
6,Acer Nitro 5 Obsidian Black
7,Asus ROG Zephyrus G15 GA502IU-HN090T Brushed Black kovový
8,ASUS Zenbook UX425EA šedá
9,Notebook Apple MacBook Air 13"" M1 256 GB - Gold CZ (MGND3CZ/A)